feature,coef_mean,coef_p2_5,coef_p97_5,pct_nonzero
age_at_scan,-0.025458484568436312,-0.07426435281884991,0.032295204767743946,1.0
age_at_onset,-0.07554033289048777,-0.12142114017262169,-0.0022826755855136077,1.0
disease_duration,0.06117863460858078,0.02136117746230339,0.10953169960581287,1.0
disease_duration_to_10,0.1030365964767512,-0.028460295680946362,0.1707929250328099,0.9950248756218906
disease_duration_10_up,0.05461731554281464,0.013409346492003803,0.10352439057966763,1.0
sex,0.006212269257994366,-0.06174682558397473,0.06164754256044957,1.0
GAA1,0.06105867627343661,-0.00970435055465179,0.1356397713724066,1.0
GAA2,0.027214818620839475,-0.05907184944152096,0.15762374275722782,1.0
SCP_v1,-0.06234992781549457,-0.09898645508097693,-0.02320313248551286,1.0
MCP_v1,-0.060249522180564154,-0.08218256663200388,-0.03513999254893211,1.0
ICP_v1,-0.06231560358928543,-0.08914424889829953,-0.0325543650223567,1.0
Midbrain_v1,-0.01979680255104714,-0.06852283232035082,0.03843281344694908,1.0
Pons_v1,-0.05314920846991955,-0.07716845782651222,-0.025857349200381612,1.0
Medulla_v1,-0.07219460680077991,-0.10370756568536574,-0.033702242106573674,1.0
AntCBLM_v1,-0.078474275841277,-0.11431131404991045,-0.035381843737364894,1.0
SupPostCBLM_v1,-0.057675396993661816,-0.10970297469786647,-0.005471665599648455,1.0
InfPostCBLM_v1,0.0029770349875597717,-0.057011760596127774,0.07718349817102255,1.0
FlocCBLM_v1,-0.04072482193810157,-0.11730326678952138,0.026423264797708554,1.0
VermisCBLM_v1,0.03578382364761776,-0.007660276913331207,0.09397772343551639,1.0
FASCP_v1,-0.07988674671447829,-0.13254401271065136,-0.029629158353424924,1.0
FAMCP_v1,-0.06453161301339609,-0.11666610923878072,0.003755350640713472,1.0
FAICP_v1,-0.02992593077153014,-0.08948392900905508,0.030262602266965512,1.0
MDSCP_v1,0.024797207084980902,-0.03570401910671178,0.06271960021747841,1.0
MDMCP_v1,0.06426355123285143,0.018772060337108352,0.10585404734441557,1.0
MDICP_v1,0.028255069996324156,-0.02509440170553355,0.0744463722115365,1.0
ADSCP_v1,0.008870793014599154,-0.04348071738004187,0.0642159826647263,1.0
ADMCP_v1,0.003928156775543864,-0.05034569102950582,0.06971915185453924,1.0
ADICP_v1,-0.021354143290865574,-0.09620214389261005,0.04938821905200001,1.0
RDSCP_v1,0.016727854962028995,-0.030584996321074427,0.05875379490778248,1.0
RDMCP_v1,0.023336864154492352,-0.01628606561813578,0.06373165295407916,1.0
RDICP_v1,-0.0012741272478508626,-0.07504811431293633,0.06124847923205344,1.0
