names,rSCP,lSCP,rMCP,lMCP,rICP,lICP
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac58/label/sub-campac58_ses-1_T1w,0.2355,0.2154,3.5449,3.9998,0.9754,1.1804
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac58/label/sub-campac58_ses-2_T1w,0.1980,0.1714,2.9835,3.3917,0.8367,0.9993
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac61/label/sub-campac61_ses-1_T1w,0.2347,0.2078,3.1550,3.4414,0.8561,1.0027
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac61/label/sub-campac61_ses-2_T1w,0.2000,0.2003,3.0234,3.4107,0.8160,0.9646
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac63/label/sub-campac63_ses-1_T1w,0.2285,0.2186,3.3552,3.7127,0.9179,1.0890
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac63/label/sub-campac63_ses-2_T1w,0.2506,0.2140,3.3129,3.6754,0.8809,1.0064
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac85/label/sub-campac85_ses-1_T1w,0.2857,0.2713,3.7047,3.9495,1.1252,1.3425
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac96/label/sub-campac96_ses-1_T1w,0.2673,0.2135,3.5583,3.8996,1.0369,1.1616
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac96/label/sub-campac96_ses-2_T1w,0.2216,0.2365,3.5139,3.8550,1.0434,1.0733
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon001/label/sub-melcon001_ses-1_T1w,0.3479,0.3389,4.2416,4.6152,1.3220,1.5257
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon001/label/sub-melcon001_ses-2_T1w,0.3241,0.3144,4.2170,4.5491,1.3541,1.4654
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon002/label/sub-melcon002_ses-1_T1w,0.3253,0.2851,4.3265,4.7069,1.2792,1.4692
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon002/label/sub-melcon002_ses-2_T1w,0.3270,0.2688,4.4704,4.7594,1.3118,1.4544
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon003/label/sub-melcon003_ses-1_T1w,0.2845,0.2312,3.3673,3.6766,1.0717,1.3126
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon003/label/sub-melcon003_ses-2_T1w,0.2392,0.2154,3.1717,3.6564,1.0590,1.2149
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon004/label/sub-melcon004_ses-1_T1w,0.3400,0.2985,3.9682,4.4357,1.2958,1.4776
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon004/label/sub-melcon004_ses-2_T1w,0.3275,0.3173,4.0498,4.3750,1.3131,1.5005
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon005/label/sub-melcon005_ses-1_T1w,0.3826,0.3678,4.6415,4.9700,1.4570,1.6805
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon005/label/sub-melcon005_ses-2_T1w,0.3697,0.3216,4.5414,4.9264,1.4854,1.7284
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon006/label/sub-melcon006_ses-1_T1w,0.2747,0.2585,3.3947,3.6765,1.0939,1.2312
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon006/label/sub-melcon006_ses-2_T1w,0.2660,0.2733,3.2896,3.6887,1.0857,1.1915
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon007/label/sub-melcon007_ses-1_T1w,0.2890,0.2488,3.7699,4.1543,1.2482,1.3957
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon007/label/sub-melcon007_ses-2_T1w,0.2948,0.2474,3.8565,4.2809,1.1842,1.4052
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon008/label/sub-melcon008_ses-1_T1w,0.2873,0.2725,3.9504,4.3033,1.2194,1.3808
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon008/label/sub-melcon008_ses-2_T1w,0.3184,0.2967,4.0024,4.3863,1.1973,1.4107
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon011/label/sub-melcon011_ses-1_T1w,0.3016,0.2480,3.8721,4.1437,1.3291,1.4245
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon011/label/sub-melcon011_ses-2_T1w,0.2838,0.2652,3.8374,4.2121,1.2592,1.3886
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon012/label/sub-melcon012_ses-1_T1w,0.2827,0.2446,3.3142,3.1854,1.1211,1.1777
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon012/label/sub-melcon012_ses-2_T1w,0.2564,0.2502,3.4206,3.4039,1.1037,1.1987
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon013/label/sub-melcon013_ses-1_T1w,0.3026,0.2479,3.6212,3.8788,1.1747,1.3274
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon013/label/sub-melcon013_ses-2_T1w,0.2774,0.2599,3.5176,3.7168,1.1611,1.3094
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon014/label/sub-melcon014_ses-1_T1w,0.3093,0.2974,4.0661,4.4146,1.3442,1.5423
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon014/label/sub-melcon014_ses-2_T1w,0.3011,0.2814,4.0971,4.4335,1.2714,1.4529
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon015/label/sub-melcon015_ses-1_T1w,0.3233,0.3099,4.3206,4.6757,1.3201,1.5150
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon015/label/sub-melcon015_ses-2_T1w,0.3233,0.3099,4.3206,4.6757,1.3201,1.5150
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon016/label/sub-melcon016_ses-1_T1w,0.2735,0.2775,3.9442,4.2404,1.1933,1.3762
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon016/label/sub-melcon016_ses-2_T1w,0.2399,0.2352,3.7737,3.9003,0.9609,1.1032
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon017/label/sub-melcon017_ses-1_T1w,0.2558,0.2312,3.4418,3.6874,0.9795,1.2475
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon017/label/sub-melcon017_ses-2_T1w,0.2647,0.2349,3.3246,3.6871,1.0343,1.1817
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon019/label/sub-melcon019_ses-1_T1w,0.3597,0.3069,4.6587,4.8594,1.4257,1.5901
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon019/label/sub-melcon019_ses-2_T1w,0.3571,0.3081,4.5441,4.8832,1.4094,1.5978
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon020/label/sub-melcon020_ses-1_T1w,0.3326,0.2999,4.1841,4.5559,1.3781,1.6145
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon020/label/sub-melcon020_ses-2_T1w,0.3013,0.2947,4.1487,4.4726,1.3871,1.5141
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon021/label/sub-melcon021_ses-1_T1w,0.2609,0.2536,3.3986,3.7046,1.0904,1.2938
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon021/label/sub-melcon021_ses-2_T1w,0.2548,0.2547,3.3938,3.8105,1.0683,1.2413
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon022/label/sub-melcon022_ses-1_T1w,0.3305,0.3212,4.4722,4.9308,1.4831,1.6242
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon022/label/sub-melcon022_ses-2_T1w,0.3578,0.3107,4.5035,4.9633,1.3378,1.5240
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon023/label/sub-melcon023_ses-1_T1w,0.2916,0.2534,3.4634,3.9148,1.1109,1.3159
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon023/label/sub-melcon023_ses-2_T1w,0.2773,0.2244,3.3989,3.8368,1.1142,1.2707
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon024/label/sub-melcon024_ses-1_T1w,0.2618,0.2390,3.8847,4.1695,1.0469,1.2457
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon024/label/sub-melcon024_ses-2_T1w,0.2988,0.2579,3.8633,4.1808,1.0520,1.2444
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon026/label/sub-melcon026_ses-1_T1w,0.2862,0.2336,3.9284,4.1827,1.2382,1.3733
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon026/label/sub-melcon026_ses-2_T1w,0.3200,0.2740,3.9723,4.3009,1.2567,1.4245
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon028/label/sub-melcon028_ses-1_T1w,0.2867,0.2765,3.8316,4.1836,1.1787,1.3494
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon028/label/sub-melcon028_ses-2_T1w,0.1997,0.1867,3.6819,4.0443,1.1558,1.2743
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon029/label/sub-melcon029_ses-1_T1w,0.3458,0.2827,4.1734,4.4387,1.2670,1.4271
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon029/label/sub-melcon029_ses-2_T1w,0.3241,0.3065,4.0934,4.3031,1.2004,1.4015
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon030/label/sub-melcon030_ses-1_T1w,0.2578,0.2505,3.5272,3.9023,1.0783,1.2927
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon030/label/sub-melcon030_ses-2_T1w,0.2421,0.2527,3.6229,3.9435,1.1289,1.3416
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon031/label/sub-melcon031_ses-1_T1w,0.3720,0.3712,4.6776,5.2604,1.4655,1.7058
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon031/label/sub-melcon031_ses-2_T1w,0.3340,0.3331,4.6646,5.1905,1.3931,1.6040
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon032/label/sub-melcon032_ses-1_T1w,0.3482,0.3136,4.0541,4.6980,1.3304,1.6067
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon032/label/sub-melcon032_ses-2_T1w,0.3388,0.3213,4.1682,4.6008,1.2792,1.5420
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon033/label/sub-melcon033_ses-1_T1w,0.3377,0.2922,4.1053,4.3160,1.2280,1.4201
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon033/label/sub-melcon033_ses-2_T1w,0.2975,0.2583,4.0609,4.3425,1.1538,1.3873
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon034/label/sub-melcon034_ses-1_T1w,0.2004,0.2014,2.6566,2.9523,0.8881,1.0436
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon034/label/sub-melcon034_ses-2_T1w,0.1994,0.1867,2.6754,2.9983,0.8793,1.0266
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon035/label/sub-melcon035_ses-1_T1w,0.3121,0.2918,4.1745,4.4907,1.2725,1.4212
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon035/label/sub-melcon035_ses-2_T1w,0.3034,0.2798,4.1088,4.3843,1.2469,1.3690
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon037/label/sub-melcon037_ses-1_T1w,0.2489,0.2533,3.1514,3.4843,1.0743,1.2206
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melcon037/label/sub-melcon037_ses-2_T1w,0.2578,0.2579,3.1502,3.3512,1.0883,1.2324
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd003/label/sub-melfrd003_ses-1_T1w,0.2343,0.2043,3.2731,3.5604,0.8858,1.0561
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd003/label/sub-melfrd003_ses-2_T1w,0.1813,0.1807,3.1113,3.2552,0.7654,0.9229
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd004/label/sub-melfrd004_ses-1_T1w,0.2394,0.2155,3.4878,3.8608,0.9356,1.0824
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd004/label/sub-melfrd004_ses-2_T1w,0.2450,0.2274,3.4581,3.9215,0.9935,1.1905
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd005/label/sub-melfrd005_ses-1_T1w,0.2004,0.1705,3.0027,3.4122,0.8050,0.9746
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd005/label/sub-melfrd005_ses-2_T1w,0.1569,0.1514,2.8922,3.2171,0.7711,0.9367
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd006/label/sub-melfrd006_ses-1_T1w,0.1958,0.1905,3.3458,3.6026,0.8987,0.9989
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd006/label/sub-melfrd006_ses-2_T1w,0.1476,0.1438,3.2635,3.5082,0.8596,0.9403
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd008/label/sub-melfrd008_ses-1_T1w,0.2464,0.2168,3.2749,3.5341,0.9440,1.0718
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd008/label/sub-melfrd008_ses-2_T1w,0.2579,0.2202,3.2031,3.4587,0.9666,1.0655
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd011/label/sub-melfrd011_ses-1_T1w,0.2207,0.1775,3.2268,3.5580,0.9404,1.0392
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd011/label/sub-melfrd011_ses-2_T1w,0.1869,0.1670,3.1259,3.5013,0.9550,1.0385
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd012/label/sub-melfrd012_ses-1_T1w,0.2863,0.2477,3.9008,4.1909,1.1670,1.3331
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd012/label/sub-melfrd012_ses-2_T1w,0.2448,0.2296,3.7139,4.0441,1.0762,1.2949
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd013/label/sub-melfrd013_ses-1_T1w,0.1742,0.1697,2.7284,3.1357,0.8060,0.9418
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd013/label/sub-melfrd013_ses-2_T1w,0.1763,0.1874,2.7382,3.0802,0.8145,0.9895
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd014/label/sub-melfrd014_ses-1_T1w,0.2720,0.2526,3.4206,3.8986,1.0070,1.2051
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd014/label/sub-melfrd014_ses-2_T1w,0.2716,0.2417,3.4943,3.8453,1.0561,1.2271
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd015/label/sub-melfrd015_ses-1_T1w,0.3190,0.2814,4.3407,4.5293,1.3486,1.4236
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd015/label/sub-melfrd015_ses-2_T1w,0.2822,0.2594,4.0454,4.3487,1.1308,1.2560
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd016/label/sub-melfrd016_ses-1_T1w,0.2900,0.2714,3.8310,4.1593,1.1563,1.2461
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd016/label/sub-melfrd016_ses-2_T1w,0.2233,0.2156,3.6615,4.0135,1.0351,1.1425
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd017/label/sub-melfrd017_ses-1_T1w,0.3085,0.2443,3.8121,3.9681,1.0563,1.1443
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd017/label/sub-melfrd017_ses-2_T1w,0.2934,0.2787,4.1649,4.3924,1.1106,1.1873
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd019/label/sub-melfrd019_ses-1_T1w,0.2360,0.2117,3.1625,3.4451,0.9511,0.9866
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd019/label/sub-melfrd019_ses-2_T1w,0.2699,0.2672,3.6160,3.9832,1.0478,1.1691
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd020/label/sub-melfrd020_ses-1_T1w,0.2772,0.2293,3.9377,4.1131,1.1280,1.2834
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd020/label/sub-melfrd020_ses-2_T1w,0.2829,0.2497,4.0168,4.3101,1.1490,1.2793
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd021/label/sub-melfrd021_ses-1_T1w,0.2463,0.2436,3.8423,4.3291,1.1251,1.3189
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd021/label/sub-melfrd021_ses-2_T1w,0.2415,0.2255,3.7356,4.1094,1.0735,1.2940
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd022/label/sub-melfrd022_ses-1_T1w,0.3113,0.2717,4.4802,4.6756,1.3139,1.5262
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd022/label/sub-melfrd022_ses-2_T1w,0.2913,0.2904,4.4197,4.8511,1.1462,1.3888
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd023/label/sub-melfrd023_ses-1_T1w,0.2940,0.2530,3.7976,4.1013,1.0423,1.3298
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd023/label/sub-melfrd023_ses-2_T1w,0.2477,0.2349,3.4357,3.6648,0.9117,1.0736
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd024/label/sub-melfrd024_ses-1_T1w,0.2554,0.2133,3.4359,3.6307,0.8837,1.0464
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd024/label/sub-melfrd024_ses-2_T1w,0.2143,0.1937,3.4685,3.6056,0.9019,1.0748
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd025/label/sub-melfrd025_ses-1_T1w,0.2737,0.2329,3.6921,4.0231,1.1006,1.2240
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd025/label/sub-melfrd025_ses-2_T1w,0.2544,0.1987,3.2391,3.5564,0.9178,1.1111
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd028/label/sub-melfrd028_ses-1_T1w,0.2119,0.1940,3.2276,3.4435,0.9090,1.0100
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd028/label/sub-melfrd028_ses-2_T1w,0.2188,0.1518,3.1268,3.4922,0.8672,1.0383
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd029/label/sub-melfrd029_ses-1_T1w,0.2166,0.1887,3.3801,3.5911,0.8791,1.0193
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd029/label/sub-melfrd029_ses-2_T1w,0.2106,0.1817,3.1994,3.5251,0.9079,0.9915
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd030/label/sub-melfrd030_ses-1_T1w,0.2372,0.2227,3.4843,3.8950,0.9878,1.1450
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd030/label/sub-melfrd030_ses-2_T1w,0.1890,0.1655,3.3935,3.7696,0.9223,1.0514
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd031/label/sub-melfrd031_ses-1_T1w,0.2197,0.2170,2.9469,3.3105,0.8871,1.0205
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd031/label/sub-melfrd031_ses-2_T1w,0.2232,0.1867,2.7194,3.0058,0.9057,0.9711
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd032/label/sub-melfrd032_ses-1_T1w,0.1366,0.1437,2.7929,3.0587,0.7181,0.7806
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd032/label/sub-melfrd032_ses-2_T1w,0.1421,0.1373,2.8436,3.0903,0.7104,0.7915
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd033/label/sub-melfrd033_ses-1_T1w,0.2148,0.2099,3.3292,3.5143,0.8558,1.0562
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd033/label/sub-melfrd033_ses-2_T1w,0.2017,0.1838,3.1675,3.4180,0.8402,1.0029
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd035/label/sub-melfrd035_ses-1_T1w,0.2250,0.2126,3.5576,3.7978,0.8574,1.0435
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd035/label/sub-melfrd035_ses-2_T1w,0.2140,0.2114,3.4460,3.7943,0.8330,1.0807
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd036/label/sub-melfrd036_ses-1_T1w,0.2775,0.2060,4.2282,4.3745,1.1217,1.2553
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd036/label/sub-melfrd036_ses-2_T1w,0.2575,0.2273,4.1525,4.4222,1.1086,1.2515
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd037/label/sub-melfrd037_ses-1_T1w,0.2222,0.2051,3.0195,3.1771,0.8548,1.0261
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd037/label/sub-melfrd037_ses-2_T1w,0.2094,0.1973,2.9816,3.1947,0.8166,1.0122
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd038/label/sub-melfrd038_ses-1_T1w,0.2934,0.2327,3.9343,4.2921,1.0711,1.3423
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-melfrd038/label/sub-melfrd038_ses-2_T1w,0.2643,0.2456,3.7154,3.9513,0.9985,1.2628
