names,rSCP,lSCP,rMCP,lMCP,rICP,lICP
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl18/label/sub-camctl18_ses-2_T1w,0.2885,0.2521,3.5807,3.9978,1.0418,1.1811
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl20/label/sub-camctl20_ses-1_T1w,0.2718,0.2409,3.3938,3.6951,1.1969,1.3855
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl20/label/sub-camctl20_ses-2_T1w,0.3018,0.2715,3.4017,3.7288,1.2119,1.3592
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl20/label/sub-camctl20_ses-3_T1w,0.2940,0.2706,3.3385,3.6277,1.2171,1.3905
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl21/label/sub-camctl21_ses-1_T1w,0.2792,0.2520,3.0321,3.4470,1.0045,1.1432
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl21/label/sub-camctl21_ses-2_T1w,0.2607,0.2266,3.0562,3.4091,0.9700,1.1399
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl21/label/sub-camctl21_ses-3_T1w,0.2722,0.2437,3.1957,3.4449,1.0117,1.1651
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl22/label/sub-camctl22_ses-1_T1w,0.2393,0.2399,2.8031,3.1532,1.0507,1.1632
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl22/label/sub-camctl22_ses-2_T1w,0.2580,0.2298,2.8525,3.1684,1.0340,1.1942
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl22/label/sub-camctl22_ses-3_T1w,0.2467,0.2470,2.8201,3.2283,1.0268,1.1251
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl23/label/sub-camctl23_ses-1_T1w,0.3391,0.2875,4.1707,4.4007,1.2995,1.5187
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl23/label/sub-camctl23_ses-2_T1w,0.3170,0.3059,4.0911,4.4053,1.3640,1.4849
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl23/label/sub-camctl23_ses-3_T1w,0.3548,0.2748,4.1224,4.3512,1.2849,1.4900
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl24/label/sub-camctl24_ses-1_T1w,0.2624,0.2524,3.1280,3.5239,1.0718,1.1903
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl24/label/sub-camctl24_ses-2_T1w,0.2675,0.2524,3.1265,3.4718,1.0850,1.2073
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl25/label/sub-camctl25_ses-1_T1w,0.2843,0.2893,3.7713,4.2506,1.2507,1.4072
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl25/label/sub-camctl25_ses-2_T1w,0.2857,0.2669,3.7910,4.1853,1.2302,1.4223
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl25/label/sub-camctl25_ses-3_T1w,0.2662,0.2585,3.8300,4.2377,1.2322,1.4389
